area,year,quarter,latitude,longitude,avg_d_mbps,avg_u_mbps,avg_lat_ms,tests,nearest_tower_distance_km,tower_count_1km,tower_count_2km,tower_count_5km,visible_tower_count_5km,digital_elevation_model,region_enc,typeOfArea_enc,city_enc,demand_growth_pct,region,typeOfArea,city,block_number,tower_density_ratio,year_trend,area_rolling_d_mbps,area_median_d,area_median_u,area_median_lat,area_test_count,distance_x_density
Abu Saiba,2023,3,26.21951904,50.49865723,202.26125,25.3475,17.75,148,0.273891209,24.75,76.5,228,148,8,2,5,2,-0.435643564,Northern Governorate,PPLX,Abu Saiba,504,0.108078603,3,238.9395,218.921875,25.25225,18.625,2630,0.001196031
Abu Saiba,2023,4,26.21951904,50.49865723,212.2555,27.656,16.25,83,0.273891209,24.75,76.5,228,148,8,2,5,2,-0.435643564,Northern Governorate,PPLX,Abu Saiba,504,0.108078603,3,216.383875,218.921875,25.25225,18.625,2630,0.001196031
Abu Saiba,2024,1,26.21951904,50.49865723,313.11525,38.01675,18.5,114,0.273891209,24.75,76.5,228,148,8,2,5,2,1.078947368,Northern Governorate,PPLX,Abu Saiba,504,0.108078603,4,207.258375,218.921875,25.25225,18.625,2630,0.001196031
Abu Saiba,2024,2,26.21951904,50.49865723,281.86675,28.37675,16.25,73,0.273891209,24.75,76.5,228,148,8,2,5,2,1.078947368,Northern Governorate,PPLX,Abu Saiba,504,0.108078603,4,262.685375,218.921875,25.25225,18.625,2630,0.001196031
Abu Saiba,2024,3,26.21951904,50.49865723,272.2195,35.0555,20,469,0.273891209,24.75,76.5,228,148,8,2,5,2,1.078947368,Northern Governorate,PPLX,Abu Saiba,504,0.108078603,4,297.491,218.921875,25.25225,18.625,2630,0.001196031
Abu Saiba,2024,4,26.21951904,50.49865723,236.4715,31.9385,32.75,55,0.273891209,24.75,76.5,228,148,8,2,5,2,1.078947368,Northern Governorate,PPLX,Abu Saiba,504,0.108078603,4,277.043125,218.921875,25.25225,18.625,2630,0.001196031
Abu Saiba,2025,1,26.21951904,50.49865723,360.6295,34.576,18.25,37,0.273891209,24.75,76.5,228,148,8,2,5,2,-0.711673699,Northern Governorate,PPLX,Abu Saiba,504,0.108078603,5,254.3455,218.921875,25.25225,18.625,2630,0.001196031
Abu Saiba,2025,2,26.21951904,50.49865723,271.88125,34.2895,18.5,65,0.273891209,24.75,76.5,228,148,8,2,5,2,-0.711673699,Northern Governorate,PPLX,Abu Saiba,504,0.108078603,5,298.5505,218.921875,25.25225,18.625,2630,0.001196031
Abu Saiba,2025,3,26.21951904,50.49865723,231.55125,26.409,22.75,64,0.273891209,24.75,76.5,228,148,8,2,5,2,-0.711673699,Northern Governorate,PPLX,Abu Saiba,504,0.108078603,5,316.255375,218.921875,25.25225,18.625,2630,0.001196031
Abu Saiba,2025,4,26.21951904,50.49865723,289.56175,23.66325,28.25,39,0.273891209,24.75,76.5,228,148,8,2,5,2,-0.711673699,Northern Governorate,PPLX,Abu Saiba,504,0.108078603,5,251.71625,218.921875,25.25225,18.625,2630,0.001196031
Abu Saybi`,2020,1,26.21869771,50.50872803,36.355,14.90566667,24,69,0.39107383,26,97,290.3333333,192.3333333,9,0,4,3,0,Capital Governorate,PPL,Abu Saybi`,502,0.089244851,0,152.4206623,144.2118333,20.02533333,20,2150,0.001342359
